Generated by http://statistics.gov.scot,2019-12-31T11:47:32+00:00,,,,,,,,,,,,,
http://statistics.gov.scot/data/road-network-traffic,Road Network and Traffic,,,,,,,,,,,,,
measure type,Count,,,,,,,,,,,,,
Indicator (road network traffic),The Total Million Vehicle Kilometres On Scottish Roads,,,,,,,,,,,,,
Measure (cell values): ,Count(Vehicle Kilometres),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,44119,44666,44470,44219,43488,43390,43838,43838,44839.34,45374.01,46436.64,47986.34,48136.74
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,1410,1391,1379,1329,1308,1297,1301,1301,1331.23,1338.32,1360.46,1383.78,1389.68
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,2753,2834,2814,2762,2716,2683,2732,2732,2847.3,2892,2961.89,3145.67,3017.4
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1128,1066,1097,1086,1086,1076,1093,1093,1119.29,1119.76,1139.52,1174.08,1159.25
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,907,910,904,900,884,879,879,879,904.03,927,952.25,984.66,972.89
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2964,3040,2957,2978,2885,2902,2888,2888,2945.27,3008.95,3087.67,3067.23,3191.66
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,303,313,317,331,328,327,315,315,311.63,315.59,322.63,333.77,335.94
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1979,2021,2021,1998,1974,1963,1956,1956,2019.67,2072.91,2111.25,2243.87,2212.4
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,882,906,902,885,867,865,858,858,861.84,862.7,878.6,884.25,898.65
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,907,901,1039,1037,1020,1014,1002,1002,1053.21,1059.92,1057.68,1110.35,1121.51
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,541,556,547,547,534,533,525,525,541.91,544.38,556.96,581.43,587.65
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,879,918,880,862,855,852,836,836,867.51,877.43,910.3,1002.76,1004.76
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,766,794,752,749,730,757,747,747,765.77,786.98,808.04,806.27,812.43
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,1472,1524,1517,1505,1479,1489,1526,1526,1554.72,1591.64,1649.18,1666.41,1667.25
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,2862,2911,2891,2894,2848,2839,2825,2825,2901.76,2916.93,2982.05,3101.11,3060.33
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,3442,3508,3527,3485,3423,3435,3513,3513,3565.78,3537.49,3628.03,3650.55,3631.6
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2546,2595,2597,2623,2586,2580,2590,2590,2642.73,2719.05,2788.29,2884,2942.99
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,538,545,541,533,519,515,507,507,521.63,523.72,531.98,540.81,539.89
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,633,649,649,661,652,653,642,642,666.48,670.53,687.42,717.03,716.76
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,719,743,739,729,714,708,716,716,740.28,750.89,766.82,797.35,799.89
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,204,209,205,206,203,202,206,206,213.77,218.75,247.94,229.69,226.05
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,769,792,792,782,770,766,740,740,763.77,771.94,784.86,806.42,805.02
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,2957,3049,3060,3025,3001,2959,3222,3222,3119.69,3065.6,3112.51,3296.36,3385.56
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,131,137,137,137,135,133,133,133,139.1,142.34,146.9,148.02,142.96
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,2328,2351,2303,2292,2244,2257,2254,2254,2330.64,2370.78,2448.68,2619.63,2593.91
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,1376,1389,1408,1382,1359,1362,1363,1363,1509.7,1543.38,1573.95,1598.27,1642.68
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,1193,1212,1196,1198,1180,1180,1174,1174,1211.02,1241.35,1268.1,1298.89,1290.64
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,202,206,206,203,202,202,204,204,210.49,215.38,222.05,223.67,218.55
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,974,992,987,983,979,974,946,946,972.93,986.39,1003.99,1029.43,1032.5
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,2551,2572,2468,2491,2444,2436,2608,2608,2557.15,2575.27,2632.75,2755.49,2765.86
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,1228,1262,1248,1234,1213,1198,1173,1173,1228.67,1253.48,1300.04,1326.45,1336.95
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,637,629,630,646,634,637,638,638,655.88,664.92,673.73,674.17,686.63
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,1698,1742,1761,1747,1716,1717,1726,1726,1764.46,1808.23,1840.13,1904.48,1946.49
